City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ayorou,14.7308,0.9174,39.06,25,82,0.87,NE,1689601388
83,dongsheng,39.8161,109.9776,25.3,28,4,6.66,CN,1689601388
84,sattahip,12.6664,100.9007,30.05,66,40,4.63,TH,1689601388
85,kaa-khem,51.6833,94.7333,17.54,61,5,2.12,RU,1689601389
86,carthage,36.8611,10.3316,40.74,13,0,3.09,TN,1689601389
87,guerrero negro,27.9769,-114.0611,20.22,83,89,3.69,MX,1689601389
88,puerto colombia,10.9878,-74.9547,28.05,70,98,3.99,CO,1689601389
89,heihe,50.2441,127.4902,20.32,55,100,1.08,CN,1689601300
90,starobesheve,47.7504,38.0305,22.92,52,100,3.58,UA,1689601389
91,ghadamis,30.1337,9.5007,42.61,5,5,5.71,LY,1689601390
92,klyuchi,52.2667,79.1667,25.02,41,18,3.58,RU,1689601390
93,malakal,9.5334,31.6605,34.48,36,100,1.64,SS,1689601390
94,codrington,-38.2667,141.9667,5.59,85,0,5.15,AU,1689601390
95,dolores,-36.3132,-57.6792,7.0,63,2,5.28,AR,1689601390
96,mysen,59.5535,11.3258,19.11,75,67,1.79,NO,1689601390
97,desaguadero,-16.5656,-69.0417,9.59,54,46,1.94,PE,1689601391
98,rongelap,11.1635,166.8941,28.06,79,21,6.04,MH,1689601391
99,port alfred,-33.5906,26.891,20.66,64,75,1.79,ZA,1689601391
100,hafnarfjordur,64.0671,-21.9377,15.56,62,0,5.66,IS,1689601391
101,ribeira grande,38.5167,-28.7,22.65,73,75,4.92,PT,1689601391
102,qaqortoq,60.7167,-46.0333,10.89,81,92,1.22,GL,1689601391
103,stanley,54.868,-1.6985,20.16,58,20,4.63,GB,1689601392
104,lazaro cardenas,17.9583,-102.2,24.9,93,98,1.56,MX,1689601392
105,opuwo,-18.0607,13.84,26.15,15,0,5.76,NA,1689601392
106,sirte,31.2089,16.5887,30.02,58,0,5.43,LY,1689601392
107,fort mcmurray,56.7268,-111.381,15.77,77,20,5.14,CA,1689601392
108,susuman,62.7833,148.1667,13.63,64,85,0.88,RU,1689601392
109,georgetown,5.4112,100.3354,29.97,76,20,1.03,MY,1689601232
110,albany,42.6001,-73.9662,24.34,92,0,0.45,US,1689601172
111,thompson,55.7435,-97.8558,15.09,82,75,3.09,CA,1689601393
